Input Size,Insertion Sort Time,Merge Sort Time
1,7.85e-08,1.041e-07
6,6.675e-07,2.9608e-06
11,1.7804e-06,6.3733e-06
16,3.5228e-06,9.9555e-06
21,5.6983e-06,1.37529e-05
26,7.8742e-06,1.78183e-05
31,9.3466e-06,2.14028e-05
36,1.42146e-05,2.56326e-05
41,1.67033e-05,3.00137e-05
46,2.00096e-05,3.4413e-05
51,1.91059e-05,3.85121e-05
56,3.03721e-05,4.29064e-05
61,3.57714e-05,4.7268e-05
66,4.0654e-05,5.25016e-05
71,5.22399e-05,5.781e-05
76,5.54416e-05,6.1832e-05
81,6.10208e-05,6.73025e-05
86,6.05658e-05,7.19392e-05
91,7.58066e-05,7.49563e-05
96,8.56576e-05,8.01179e-05
101,0.0001001934,8.61188e-05
106,0.000112076,8.97339e-05
111,0.0001033851,9.36759e-05
116,0.0001273975,9.86226e-05
121,0.0001279183,0.0001034251
126,0.0001332496,0.0001077299
131,0.0001633306,0.0001122942
136,0.0001635855,0.000117613
141,0.0001795288,0.0001224439
146,0.0002067034,0.0001278085
151,0.0002126838,0.0001325555
156,0.0002196538,0.0001406342
161,0.0002287242,0.0001438963
166,0.0002425542,0.0001472345
171,0.0002708224,0.0001521966
176,0.000284182,0.0001577754
181,0.0002764683,0.0001627408
186,0.0003158837,0.0001671225
191,0.0003331521,0.0001750495
196,0.0003535217,0.0001796362
201,0.0003698171,0.0001841675
206,0.0003791962,0.0001916416
211,0.0004114633,0.0001966387
216,0.0004215937,0.0002015684
221,0.0004211821,0.0002068284
226,0.0004249963,0.0002081396
231,0.0004767946,0.0002167793
236,0.0004864396,0.0002224926
241,0.0004952819,0.0002235317
246,0.0005139905,0.0002314651
251,0.0005704533,0.0002372084
256,0.000644215,0.0002414259
261,0.0006346092,0.0002440262
266,0.0006079413,0.0002500903
271,0.0007028308,0.0002581417
276,0.0007094754,0.0002674963
281,0.0007343742,0.0002687979
286,0.0007508833,0.0002807228
291,0.0007608066,0.0002862317
296,0.0007725458,0.0002924284
301,0.0008404966,0.0002992445
306,0.0008780987,0.00030721
311,0.0009946233,0.0003104204
316,0.0008870441,0.0003183813
321,0.0009602466,0.0003251383
326,0.0010237383,0.0003292642
331,0.001018582,0.0003310735
336,0.0010834529,0.0003372713
341,0.0011003726,0.0003487162
346,0.0011677904,0.0003564912
